,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
197211,63463.14,63696.66,184629.12,95365.19,82588.56,38693.7,59522.32,58333.8,52452.4,90741.32
197212,67625.64,68232.72,191756.38,100681.12,84406.62,40981.95,62896.65,57888.6,55492.58,95175.72
197301,67798.73,69386.39,193081.32,101661.03,86033.28,41497.11,64011.77,60022.2,54256.78,94213.47
197302,64471.68,64659.89,185369.1,106452.67,87479.91,40618.26,61210.07,59292.1,51751.9,87067.2
197303,61453.11,60369.05,180700.79,98069.4,84570.98,38332.98,57151.85,58739.1,50391.54,81551.58
197304,60668.31,58620.08,179762.95,101073.96,83476.5,38422.89,53836.62,59172.4,49120.64,81099.54
197305,56586.37,55549.2,171306,99862.03,77786.88,38754.72,49249.2,55888,48640.68,74670
197306,55052.34,52717.68,168598.26,95737.18,75501.25,37979.28,48054.96,56373.8,48475.96,70635.48
197307,59074.4,53013.57,177734.34,99288.18,79444.74,42012.52,50075.46,58441.92,50852.04,143459.73
197308,63348.96,56718.91,189115.19,99414.15,83373.3,41882.72,55473.18,62434.88,49431.96,156371.7
197309,61025.58,54132.05,185160.36,95054.85,80018.4,39741.24,52748.52,57930.81,48026.52,152314.5
197310,64414.74,58285.5,193471.2,103818,77725.44,42705.96,56612.16,58387,51633.45,162904.71
197311,62835.78,55438.15,193579.04,108838.36,80620.8,40338.32,54361.08,59431.05,49611.3,160741.92
197312,53568.52,45606.35,164675.28,101178.84,71040.84,36028.41,43983.84,54658.5,43506.42,138251.64
197401,52405.6,43843.68,166064.67,109798.78,67909.35,37544.16,43579.3,52131.84,44759.97,141002.22
197402,53442.06,46478.88,166228.2,101231.97,68742.56,38297.52,46452.15,50794.24,46558.86,142210.9
197403,53266.51,45593.8,165288.9,99072,68012.58,39547.2,46735.36,50027.52,46335.6,143256.84
197404,52048.98,45494.44,163504.26,95681.64,66066,37602.6,45109.5,50590.45,44437.89,137566.71
197405,49990.2,43538.61,159207.56,89464.34,63615.06,35606.76,44138.38,49801.25,38749.62,128427
197406,48358.42,43399.62,154991.85,82024.12,60564.48,34579.86,44505.44,49577.5,36494.64,117103.46
197407,48950.85,42216.96,155474.77,82443.2,60017.1,35110.32,43560.06,49740.6,36003.28,111875.06
197408,43806.27,37149.84,143898.3,81681.6,54865.92,32432.82,37869.6,42715.77,36056.64,104060.54
197409,39019.47,34279.8,128341.71,73926.72,51607.8,31849.21,32764.78,39056.04,32551.44,92529.13
197410,34105.5,29786.12,111990.66,68055.12,42830.16,30558.94,28743.42,32973.69,31859.6,83133.38
197411,39351.26,30900.6,129482.1,81830,49158.56,33875.43,31627.28,42679.65,35710.22,99606.08
197412,37504.6,29107.19,120476.07,77620.68,46382.42,32333.01,29629.08,41994.66,35286.16,96358.48
197501,37106.1,27866.72,114744.9,78133.3,43840.89,32699.14,28537.73,40516.56,34720.14,91618.02
197502,44038,33707.49,131181.7,82598.4,50488.19,36329.69,35848.93,40231.25,41044.64,107664.9
197503,45643.5,34931.85,140940.4,83605.38,56819.55,37709.75,37481.75,46503.75,41037.36,110339.18
197504,48672.36,37214.46,147669.62,81670.35,57330.55,37247.68,41323.1,47055,40205.53,114233.58
197505,50113.54,38539.98,161238.15,87259.2,60460.4,36894.26,42326.9,47368.75,39325.87,117698.64
197506,52488,39271.75,164586.4,96476.38,63529.2,37678.8,43925.58,50248.14,42268.93,123936.75
197507,56837.77,43037.28,172023.65,103921.1,65850.72,39411.66,47671.38,51316.2,49500.45,131542.11
197508,53699.2,42073.2,161356.17,99167.06,59623.2,37749.11,44055.72,45114.3,46866.05,123090.68
197509,51798,40368,159123.88,97660.23,57462.9,35891.4,43761.75,43354.36,45837.45,116383.4
197510,50203.02,39235.26,149830.56,96435.39,56925.66,35301,42162.3,40477.8,44991.68,108487.56
197511,55377.53,42628.26,157841.95,94605.16,61673.94,37705.65,46210.4,44757.24,47635.76,112389.2
197512,57316.32,43839.3,161912.98,92465.48,64377.13,38796.8,48063.6,46849.4,48737.92,115932.3
197601,56277.48,43552.2,159187.24,92382.16,63493.2,38614,46523.25,43834.7,49082,114876.9
197602,62312.04,50273.82,185715.12,99672.72,75110.4,42280.8,50668.8,47230.3,52942.32,129240.96
197603,61410.86,51761.68,188374.9,95743.2,75630.53,43229.6,52784.5,43958.2,50682.8,132805.44
197604,61507.34,53533.26,189461.28,102639.6,77784.05,43338,54524.61,46772.82,51045.28,134843.8
197605,60375.6,54477.18,186258.3,104514.3,75108.18,44082,51914.3,44739.78,51107.84,132462.88
197606,58613.94,52336.26,183011.78,109154.1,75090.16,42222.4,48719.04,43292.4,49978.08,129634.61
197607,61690.68,54705.6,192810.8,115402.56,82349.64,45565.76,49314.8,45330.3,56273.91,138294.9
197608,62462.5,53944.36,188799.24,114470.72,80511.96,46127.46,48100,45137.25,57562.34,137896.08
197609,62001.75,52814.32,184797,112501.48,79338.69,47711.29,49346.58,45878.4,58731.09,135777.42
197610,62748.12,55080.81,186108.16,119080.8,81560.07,48336.95,49461.54,47529.45,60818.01,136587
197611,61622.44,54335.25,179144.73,115820.16,77837.03,48944.98,48763.71,45684.62,59998.95,135663.36
197612,62181.28,52904,177027.46,115865.54,78514.8,49874.04,50976.99,40844.7,61427.63,135612.24
197701,65108.16,57803.71,186727.32,122995.84,81306,51455.82,51979.2,43340.13,65083.48,146365.2
197702,62304.2,55281.32,175178.04,121495.5,78061.9,51502.56,48245.75,39453.44,65326.58,139956.11
197703,60808.44,52980.56,172930.88,116781.12,77041.6,51316.01,47048.19,39169.34,62581.42,136879.51
197704,59722.55,51052.65,172239.18,114297.44,76912.08,50655.5,45691.71,38397.24,62327.1,136139.92
197705,59775.6,52575.6,172741.08,117081.51,74172.6,50988.42,44015.5,36319.6,63219.09,138826.98
197706,58911.04,51623.92,166917.68,115423.62,72563.48,51045,42489.72,35363.73,63755.22,136675.98
197707,62611.49,56229.2,178812.05,124132.7,79010.34,53772.84,45898.3,38092.53,71534.98,143897.04
197708,63245.61,54662.16,172125.75,121634.15,78844.38,53305.56,45603.6,37213.44,71832.31,142992.78
197709,62974.6,53757.3,169007.79,112993.14,78668.88,51402.12,47492.24,38372.4,68926.33,140511.6
197710,62858.28,54463.71,166777.38,113805.96,77141.66,53035.84,47073.84,37955.94,69923.04,138847.5
197711,60631.28,51925.31,158936.8,109483.68,74630.92,50347,45204.38,37243.7,67407.89,132334.4
197712,63049.5,51739.94,163522.52,112127.76,77956.56,50756.64,47357.24,39194.88,69663.11,139917.88
197801,62733.44,51146.68,163897.2,114129.68,79656.03,51694.28,46562.8,38886.25,69049.75,139714.96
197802,59256.24,47528.84,153814.64,105980.32,75870.56,49538.72,43221.2,38125,65560.33,131851.36
197803,58952.88,47282.84,148946.64,103757.6,72632.97,50827.92,42634.8,36738.75,64735.66,130798.17
197804,61070.75,50016.72,153193.68,105282.27,72003.55,51975.82,43697.19,38161,65954.9,137204.2
197805,65063.52,54738.28,169037.4,112088.38,81486.24,53506.62,48045.51,41607.21,65734.24,149653.2
197806,66941.16,54231.52,174660,111599.84,82159.99,52533.53,48181.51,43374,65614.56,152689.17
197807,67227.06,52602.48,176309.75,110831.64,82300.4,53952.1,48356.84,44106.8,70667.1,152579.46
197808,68565,54854.25,188835.3,114392.9,89310.06,54717.5,50627.94,47950.8,72114.68,161911.35
197809,71051.64,55999.35,194971.68,119034.55,94053.96,55829.76,52978.24,47914.28,71764.99,171370.56
197810,70239.24,55563.2,190388.25,124625.04,89636.25,56339.64,51447.6,46577.16,71140.41,168372.3
197811,61984.08,49226.24,167880.04,110788.24,79785.42,53584.95,44016.28,40539.38,65631.39,143234.34
197812,62945.33,48595.19,171437.85,116794.26,83157.5,54397.57,44913.15,42288.29,67033.89,146089.22
197901,63443.4,48039.18,172241.37,120101.8,88080.8,54267.6,44090.49,43678.58,65706.19,146606.61
197902,65077.74,50244.8,182474.64,122985.53,91808.72,56236.83,46461.08,44181.6,69491.07,153821
197903,62126.48,47880,172961.25,121255.62,88074.5,55018.72,44053.68,41910.61,67740.75,148188
197904,64256,50911.8,185002.17,132461.12,94603.66,54916.22,46386.19,43807.5,68860.88,158725.05
197905,64270.92,51963.04,183245.4,137830,94755.6,53733.6,46592.73,43887.87,66643.06,160194.9
197906,62654.9,50731.2,177759.65,133209.18,91588.35,52773.24,45086.14,42389,66848.76,158150.58
197907,65212.44,52354.88,184397.66,149150.5,94259.76,55461.12,46892.3,45017.69,74466.8,174296.88
197908,66386.4,53283.92,187466.52,151252.2,92771.49,55381.85,47297.73,45019.8,75325.47,179158.36
197909,70927.56,55315.81,199556.34,162086.76,97435.71,55273.49,51129.87,48506.32,76127.7,187934.77
197910,69275.1,54634.32,197558.99,171292.24,95590.44,53832.56,50552.91,48229.8,74087.53,185817.27
197911,63776.04,49301.56,179506.32,166143.9,88007.92,50904,45764.06,46057.32,69234.88,166183.5
197912,66606.85,47361.68,186191.22,179378.06,93127.68,52064.46,47232.72,49806.39,73934.19,176941.73
198001,68433.94,48307.5,193145.92,182068.84,94356.48,51062.34,48492.36,50771.94,72726.17,181622.7
198002,70398.72,52528.16,205424.1,207343.87,101073.38,50006.88,48786.07,50033.42,73457.34,189763.2
198003,66619.02,48586.92,198202.4,232066,96764.42,48332.44,46037.24,47393.34,70222.24,182452.27
198004,59899.4,44303.8,174098.16,190451.52,84349.59,46832.8,41947.2,45699.57,65029.25,158776.74
198005,63407.63,43301.79,179200,202891.48,84414.96,50233.95,43176.3,47447.01,72322.38,167162.5
198006,67999.6,44680.65,188874.88,209644.44,87717.96,51786.78,46888.87,50452.74,74883.6,179242.96
198007,71730.38,46531,195883.32,229126.45,93388.6,53734.09,48588.9,51607.92,85279.6,188468.28
198008,76580.35,51934.96,216310.12,232200.16,107664.26,54271.59,53448.64,55999.35,84641.76,199982.77
198009,75739.86,52333.6,217392.59,239559.12,110834.05,56750.97,54169.85,55762.91,82933.2,204046.96
198010,75550.8,52640.64,222876,255493.92,112860.54,55632.11,54591.39,57718.01,82426.68,209752.55
198011,75534.64,51645.04,222751.68,274800.25,114878.61,53820.09,53446.8,56845.8,83513.43,210197.14
198012,75847.5,53806.48,240241.5,340981.26,125235.8,47292,54657.59,61579.32,89001.08,224231.04
198101,76221.95,52958.72,234524.98,303652.77,122949.32,47585.6,53390.58,64252.88,86250.01,221286.16
198102,77383.04,51720.88,229220.28,271172.44,112964.93,50207.6,53226.09,63191.7,83450.62,214157.44
198103,78909.6,54469.92,237007.37,268037.98,112748.94,50206.36,54248.1,63012.63,81541.35,216645.28
198104,83980.05,57569.35,249836.7,259169.75,118238.86,50692.38,60977.64,66537.84,83243.05,231456.48
198105,84376.53,58537.44,246364.86,239456.88,118367.18,53828.52,62326.25,68429.34,80636.27,232864.92
198106,86191.2,59898.24,241683.68,227505.86,122580.78,56654.96,63608.68,70471.8,81378.66,236160.54
198107,85248.38,58603.5,243928.32,249757.2,127763.91,60056,66518.6,69519.6,90904.32,247312.28
198108,83283.3,56797.2,236616.4,269088.45,122878.71,59621.24,64230.57,66731.28,92900.49,238255.6
198109,78580.85,51965.97,218904.2,249107.14,113174.26,57976.8,60277.56,61147.32,91231.15,220119.4
198110,76407.87,50198.4,202725.18,209808.6,108350.74,59569.3,57761.06,60299.65,85348.35,206512.86
198111,81813.43,48045.03,209346.51,229152.5,113770.88,62854.51,61542.49,64994.6,88912.41,220575
198112,83559.6,49600.94,216816.2,241007.13,114641.64,63419.92,61382.75,66955.86,93219.46,230722.8
198201,81730.8,49111.92,212941.76,224934.5,114125.76,62398.61,59812.2,66362.22,90285.7,219639.46
198202,80392.48,49689.12,205558.92,205522.61,117054.6,62802.81,59739.9,67245.03,89162.62,211625.04
198203,78425.76,48378.72,192099.6,173153,109900.8,58127.25,58000.4,64110.07,87821.8,201043.81
198204,79864.35,49919.3,188053.92,165845.84,105780.84,59210.6,60125.19,62337,88317.81,192467.77
198205,84983.36,52124.38,193486.32,172889.15,113558.32,55273.14,63050.4,66861,91143.36,198697.2
198206,81196.5,50834.88,183042.6,174667.02,106622.1,53598.28,60695.36,64217.2,89593.56,183027.95
198207,84981.54,52811.01,183922.7,164011.88,110412.82,56271.05,64763.6,65684.5,92449.73,188131.68
198208,83969.16,52586.1,178132.21,150549,112068,56916.75,64701.36,66114.78,89420.47,181543
198209,91137.6,59463.45,200062.72,163024.78,125574.02,61898.58,72310.39,73758.76,98915.08,200080.88
198210,94214.86,58660.5,197521.38,166054.05,126925.4,62520.92,75502.95,74701.35,99188.21,207118.2
198211,103114.83,68349.28,222448.67,174683.84,148380.46,67611.57,88110.72,80831.6,103382.57,236944.2
198212,107708.48,73431.67,232910.7,161197.57,163188.1,70442.32,97502.4,84514.08,102435.21,251910
198301,108099.24,75689.02,234004.88,169758.72,167446.81,69538.5,93996.9,84844.35,105888.49,244804.13
198302,106726.79,79525.77,242449.79,175465.63,181386.24,78091.71,95162.31,85839.6,109125.94,250965.6
198303,110230.95,82017.05,250256.43,171862.99,187068.78,76683.09,102438,87752.16,109563.33,261061.64
198304,117907.2,80913.08,255112.62,181815.97,188171.1,76809,111035,91724.8,109051.45,272475
198305,125061.2,89816.76,270876.39,198880.97,202057.24,80728.97,120523.52,96361.6,112020.2,293905.92
198306,123356.75,87520.86,275149.35,198982.08,206640.99,79626.96,120545.05,93236.01,112982.31,299816.5
198307,129573.02,98644.67,284432.7,211436.96,235688.82,85548.84,134680.95,108268.02,122425.52,334465.83
198308,125574.6,95019.54,276666.24,205563.76,222837.87,81091.2,129909.45,102120.06,122914.35,320539.44
198309,125845.72,92286.48,275945.67,216528.75,219279.06,82776.6,123154.71,100518.09,123520.8,315929.53
198310,131149.2,96133.44,281696.6,205884.81,223477.2,83309.18,125803.08,101748.21,127167.36,319955.13
198311,130599.56,96337.78,274663.92,201218.52,207954.88,78932.56,123587.86,99448.77,130312.32,306192.46
198312,132966.22,99590.26,290476.76,197588.16,211877.35,81357.46,128165.2,95910,125141.6,314257.58
