Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193410,1.571538462,2.884615385,1.727692308,0.647692308,2.161538462,0.295384615,3.481538462,1.468461538,-0.998461538,0.912307692
193411,1.098461538,1.206153846,0.918461538,-0.43,1.456153846,-0.183076923,2.29,0.793076923,-1.480769231,0.488461538
193412,1.251538462,-0.292307692,0.38,-0.668461538,1.428461538,0.07,1.533076923,1.629230769,-1.804615385,-0.389230769
193501,0.604615385,-1.559230769,-0.611538462,-1.597692308,0.206153846,-0.309230769,0.154615385,0.666153846,-4.318461538,-2.177692308
193502,0.631538462,-1.848461538,-0.736923077,-1.631538462,0.373076923,-0.527692308,-0.411538462,0.700769231,-3.239230769,-2.441538462
193503,0.982307692,-1.384615385,0.048461538,-0.338461538,0.916153846,0.076923077,-0.098461538,0.994615385,-2.243846154,-1.832307692
193504,0.827692308,-0.63,0.403076923,0.084615385,1.299230769,0.817692308,0.189230769,0.07,-0.896923077,-1.406153846
193505,1.482307692,1.108461538,1.677692308,0.557692308,2.448461538,1.56,1.281538462,0.413846154,0.398461538,-0.354615385
193506,1.427692308,2.787692308,2.18,0.475384615,2.972307692,1.9,1.672307692,0.502307692,0.78,-0.033846154
193507,1.701538462,4.544615385,3.319230769,1.078461538,4.133846154,2.546923077,2.552307692,0.67,2.660769231,1.556153846
193508,1.506923077,4.561538462,3.065384615,0.351538462,4.223076923,2.679230769,2.145384615,0.99,2.347692308,1.263076923
193509,1.833076923,5.557692308,3.602307692,1.57,4.924615385,2.772307692,2.043076923,1.387692308,3.310769231,1.474615385
193510,1.870769231,5.986153846,3.99,2.144615385,5.443846154,3.64,2.138461538,1.576153846,3.959230769,2.659230769
193511,1.376923077,5.077692308,3.302307692,2.687692308,4.673846154,3.760769231,1.320769231,1.443846154,4.410769231,2.556923077
193512,1.698461538,5.103076923,3.563846154,3.716923077,4.891538462,4.126923077,1.184615385,1.662307692,6.040769231,3.504615385
193601,1.853076923,6.085384615,4.175384615,4.15,4.830769231,4.667692308,1.666153846,1.993846154,5.776923077,4.235384615
193602,1.569230769,7.120769231,4.500769231,4.542307692,4.812307692,4.328461538,1.801538462,1.937692308,6.761538462,4.369230769
193603,1.583076923,6.787692308,4.181538462,4.045384615,4.466923077,3.948461538,1.731538462,1.472307692,5.170769231,4.206923077
193604,1.523846154,6.659230769,3.969230769,2.810769231,4.080769231,3.743076923,1.749230769,1.596923077,5.046153846,4.103076923
193605,1.618461538,6.959230769,3.925384615,2.673846154,3.976923077,3.285384615,1.961538462,2.005384615,4.266153846,3.940769231
193606,1.423076923,6.584615385,4.016153846,2.922307692,4.262307692,3.061538462,1.956153846,2.048461538,4.456923077,4.196923077
193607,1.246153846,5.095384615,3.313846154,2.860769231,3.709230769,2.755384615,1.57,1.689230769,3.668461538,3.778461538
193608,1.315384615,4.653076923,3.223076923,3.113076923,3.366153846,2.467692308,1.558461538,1.726153846,2.956153846,3.586153846
193609,1.444615385,4.190769231,3.493076923,4.329230769,3.212307692,2.53,2.465384615,1.931538462,3.552307692,4.161538462
193610,1.448461538,3.036923077,3.461538462,3.403076923,2.958461538,2.588461538,3.217692308,1.733846154,2.245384615,4.014615385
193611,1.254615385,2.211538462,3.257692308,3.9,2.713076923,1.81,2.366923077,1.443076923,2.056923077,2.909230769
193612,1.283076923,2.324615385,3.327692308,3.001538462,3.106153846,1.756923077,2.450769231,1.529230769,1.825384615,2.658461538
193701,1.102307692,1.986923077,3.100769231,2.034615385,2.505384615,1.200769231,2.902307692,0.976923077,0.539230769,2.09
193702,0.977692308,1.381538462,2.776923077,2.198461538,2.133846154,0.534615385,2.616153846,0.324615385,0.56,2.081538462
193703,0.646923077,-0.01,1.885384615,1.656153846,1.551538462,0.39,1.971538462,-0.201538462,-0.063846154,1.783846154
193704,0.955384615,0.619230769,2.65,2.428461538,2.276923077,0.943076923,2.025384615,0.634615385,0.172307692,2.099230769
193705,0.324615385,-0.521538462,1.895384615,2.267692308,1.763076923,0.553076923,1.387692308,-0.051538462,-0.964615385,0.842307692
193706,0.536153846,-0.031538462,2.504615385,2.782307692,2.397692308,0.617692308,1.775384615,0.167692308,0.243076923,1.377692308
193707,0.117692308,-0.583846154,1.572307692,1.912307692,1.104615385,0.234615385,0.969230769,-0.106153846,-1.431538462,-0.006153846
193708,-0.648461538,-1.536923077,0.103076923,0.947692308,-0.166923077,-0.062307692,-0.306923077,-0.82,-2.256153846,-1.369230769
193709,-1.140769231,-2.778461538,-1.123076923,0.306153846,-0.623846154,-0.5,-1.074615385,-1.152307692,-2.473846154,-2.216923077
193710,-1.850769231,-4.341538462,-2.434615385,-1.536923077,-1.419230769,-1.167692308,-3.042307692,-1.836923077,-2.690769231,-3.367692308
193711,-2.373846154,-5.487692308,-3.039230769,-1.746923077,-2.011538462,-1.583846154,-4.392307692,-2.283846154,-3.293076923,-3.915384615
193712,-2.036923077,-4.080769231,-3.283076923,-2.418461538,-2.403846154,-1.74,-3.310769231,-1.856153846,-3.606153846,-3.786923077
193801,-1.959230769,-4.373076923,-2.97,-1.879230769,-2.733076923,-1.853076923,-2.585384615,-1.460769231,-3.526923077,-3.491538462
193802,-3.242307692,-6.438461538,-5.153076923,-3.932307692,-4.763846154,-2.959230769,-4.527692308,-2.285384615,-4.713076923,-6.145384615
193803,-2.220769231,-4.978461538,-4.189230769,-2.968461538,-3.129230769,-1.762307692,-3.073076923,-0.989230769,-3.09,-5.233846154
193804,-1.747692308,-4.903076923,-4.014615385,-3.008461538,-2.773076923,-1.294615385,-2.813076923,-0.602307692,-2.345384615,-5.013076923
193805,-0.698461538,-1.981538462,-1.561538462,-1.299230769,-0.734615385,-0.456923077,-0.615384615,0.043076923,-0.64,-2.844615385
193806,0.059230769,0.376923077,-0.760769231,-0.526923077,-0.172307692,-0.465384615,0.203846154,0.806153846,-0.183076923,-1.387692308
193807,-0.64,-0.181538462,-1.616923077,-1.853076923,-0.998461538,-0.695384615,-0.775384615,0.515384615,-2.094615385,-2.346923077
193808,-0.410769231,0.046153846,-1.147692308,-1.284615385,-0.509230769,-0.434615385,-0.442307692,0.430769231,-1.216923077,-1.801538462
193809,0.686923077,1.52,1.010769231,-0.388461538,1.352307692,0.000769231,1.260769231,1.691538462,1.309230769,0.274615385
